Question,Answer,Class
What are the library opening hours?,The library is open Monday to Friday from 8:00 a.m. to 5:00 p.m. The library will be closed on public holidays and on Saturday and Sunday.,Library
I do not work for HKL. Is it possible for me to utilize your library services?,"No, only HKL employees and medical students from public or private universities are eligible to use the library's services.",Library
Where is the location of your library?,"Our library is at Level 1 of the Main Block, HKL building.",Library
How can I access MOH Virtual Library?,You can access MOH Virtual Library through the HKL website. Under MOH Apps → Virtual Library KKM. Username and Password can be created using a registered MOH email account.,Library
How can I get articles from journals not subscribed by the Library?,"You can get the article by filling out the Articles Request Form at the library counter, or you can request it by emailing it to library.hkl@moh.gov.my.",Library
How to seek counseling services in Hospital Kuala Lumpur?,"HKL, HTA, and IPR staff can get counseling services as follows: Client - HKL, HTA, and IPR staff. Type of Service Entry - Walk-in/volunteer & By referral Referrer - (Walk-in/ volunteer) Staff need to come to Counseling Psychology Unit for registration processes and get an appointment date for counseling session. (By referral) Supervisors/Head of Nurses, Head of Department, and Medical Officers must complete the Counseling Psychology Service Referral Form for the staff and send the form to the Counseling Psychology Unit for registration.Referral form can be downloaded in Intranet Portal, HKL.",Psychology Counselling
When can I meet the counselor?,"Staff can meet the counselor during the counseling psychology office operating hours (except weekends and public holidays) as follows: 

Day: Monday – Thursday. 
Morning Session: 7.30 am – 01.00 pm. 
Evening Session: 2.00 pm – 5.00 pm. 

Day: Friday. 
Morning Session: 7.30 am – 12.15 pm. 
Evening Session: 2.45 pm – 5.00 pm. 

Counseling psychology clinic operating hours are from 8.00 am to 4.30 pm.",Psychology Counselling
Where is the location of Counseling Psychology Unit?,"Counseling Psychology Unit (UPsK) HKL is located at:Level 1 K8, Wisma Rekod/Kayu, Hospital Kuala LumpurCounseling room, Level 3, Specialist Complex And Ambulatory Care Centre (SCACC)",Psychology Counselling
Is there any charges for counseling sessions and follow-up?,No. Counseling services in HKL are FREE of charges.,Psychology Counselling
Is it safe for me to share issues with a counselor?,"Counseling sessions are bound by the confidentiality ethics in the Counselors Act 1998 (Act 580) and Counseling Ethics unless issues involved that are detrimental to the client, others, and violations of existing laws. For referred cases, a counseling report will be issued to the referrer who applied.",Psychology Counselling
Where is the wheelchair counter location if I want to use the service?,Patients/relatives can get wheelchair service at the entrance of the SCACC building located next to the ground floor motor park.,Hospital Supervisory
Can I use a wheelchair service at the SCACC building?,Patients can access the service if they are unable to walk and have an appointment at the SCACC building.,Hospital Supervisory
How do I get a wheelchair service?,Patients/relatives will need to leave their identification documents such as a work pass or driver's license for the purpose of registering a wheelchair at the counter.,Hospital Supervisory
When does the time for wheelchair service start?,"Wheelchair service counter hours are from 7:00 am to 4:30 pm, except on weekends and public holidays.",Hospital Supervisory
Do I have to pay for the service?,No need. The service provided is free of charge.,Hospital Supervisory
What should I do in the event of any damage or loss of a borrowed wheelchair?,Patients/relatives should be responsible for reporting to the staff at the wheelchair service counter in the event of loss or damage to the wheelchair for follow-up action.,Hospital Supervisory
Who can I contact if I have any questions regarding the wheelchair service?,Patients/relatives can call 03-2615 5555 ext 7016 (Bahagian Penyeliaan Hospital) for any questions regarding the service.,Hospital Supervisory
What is the role of Occupational Safety & Health Unit in HKL?,Mainly function as a secretariat for the Occupational Safety and Health Committee of HKL and responsible to carry out activities or programs in accordance with the Occupational and Safety Health Act 1994.,Occupational Safety and Health
What are the clinical services provided under the Occupational Safety & Health Unit?,The services provided are in Klinik Premier under the Occupational Safety & Health Unit:- Outpatient Treatment for Staff only- Non-communicable Diseases- Medical Check-up (Requirements for Pursuing Study)- Immunization- Latent TB- Screening for new staffs – Mantoux & Hepatitis B- Contact Tracing for TB- Food Handlers- Medical Surveillance - USECHH Regulations- Ergonomic Assessment – OSHA 1994- Sinaran – Akta Tenaga Atom 1984- TPN – Sterile Preparations- Kosplen-WOW- HPV Test- Fever Centre,Occupational Safety and Health
What are the other services provided?,Occupational SafetyTraining and Promotion,Occupational Safety and Health
